Name,Address,City,State,Phone,Web Address,Street Address,Service,Type,Zip
WAGON MOUND CLINIC,604 Catron Ave,Wagon Mound,NM,505-932-7290,www.ecfh.org,538 N Paseo De Onate,Primary Care,Free,87752
Care Management (Health Home),882 3rd Ave,Brooklyn,NY,718-630-6885,,150 55th St,Primary Care,Free,11232
Jackson-Reed High School (SBMH),3950 Chesapeake St NW,Washington,DC,202-282-0120,https://profiles.dcps.dc.gov/Jackson-Reed+High+School,2333 Ontario Rd NW,Primary Care,Free,20016
Rawlins County Jr-Sr High School,100 N 8th St RM 128,Atwood,KS,785-675-3018,,826 18th St,Primary Care,Free,67730
New Horizon Head Start,1111 N 28th St,Baton Rouge,LA,225-650-2000,,3140 Florida St,Primary Care,Free,70802
Centerstone Health Services - Columbus,720 N Marr Rd STE A,Columbus,IN,812-339-1691,www.centerstonehealth.org,645 S ROGERS ST,Primary Care,Free,47201
Behavioral Health-DEN plus Admin  Church Street,415 Church St NW,Huntsville,AL,256-536-4700,,806 Governors Dr SW,Primary Care,Free,35801
Crossroads Elementary School Based Health,4755 E Highway 60,Owingsville,KY,606-646-9776,,236 W Main St,Primary Care,Free,40360
BLUFF CITY MEDICAL CENTER,229 Highway 19 E,Bluff City,TN,423-538-5116,www.rhsctn.com,4966 Highway 11w,Primary Care,Free,37618
C.A. Weis Elementary School,2701 N Q St,Pensacola,FL,850-912-6006,healthcarewithinreach.org,2315 W Jackson St,Primary Care,Free,32505
LCHC at Pacific Garden Mission,1458 S Canal St FL 1,Chicago,IL,872-588-3000,,3860 W Ogden Ave,Primary Care,Free,60607
"PrimaryOne Health SBHC 4079 Karl Road, Columbus, OH 43224",4079 Karl Rd,Columbus,OH,614-859-1902,,"2780 Airport Dr, Ste 100",Primary Care,Free,43224
NATCHIRSVIK HEALTH CLINIC,2 SCOW JOHN RD,White Mountain,AK,907-638-3311,WWW.NORTONSOUNDHEALTH.ORG,1000 Greg Kruscheck Ave,Primary Care,Free,99784
Tyler Family Circle of Care - Business Office,200 E Houston St,Tyler,TX,903-606-2391,www.tylercircleofcare.org,523 S Fannin Ave,Primary Care,Free,75702
Heritage Health SBHC Kellogg Middle School,790 Bunker Ave,Kellogg,ID,208-620-5250,,1090 W Park Pl,Primary Care,Free,83837
Carroll County High School,1706 Highland Ave,Carrollton,KY,859-567-1720,,441 US Highway 42 W,Primary Care,Free,41008
Kintegra at Costner Elementary,353 Old Nc 277 Loop Rd,Dallas,NC,704-922-3522,,200 East Second Avenue,Primary Care,Free,28034
Via Care 1st Street Administrative Site,3601 E 1st St,Los Angeles,CA,323-268-9191,,507 S Atlantic Blvd,Primary Care,Free,90063
Community Care of Big Otter,797 Clinic Dr,Ivydale,WV,304-286-4200,www.primcaresys.org,78 Queens Alley Rd,Primary Care,Free,25113
Dayspring Clairfield,5663 Highway 90,Clairfield,TN,423-784-6135,N/A,107 S Main St,Primary Care,Free,37715
Wiley School,1351 Washington St,Watertown,NY,315-785-3783,www.NoCoFamilyHealth.org,238 Arsenal St,Primary Care,Free,13601
CFHC Avon Park Primary Care,950 County Road 17a W,Avon Park,FL,863-452-3000,http://www.cfhconline.org/,47 5th St NW,Primary Care,Free,33825
Lena Schulterbrandt Health Center at Sunshine Mall,1st Ave,Southwest,VI,370-772-1992 x21992,www.fhc-inc.net,516 Strand St,Primary Care,Free,840
TCCH at UaP,1400 27th St,Vero Beach,FL,772-257-8224,,12196 County Road 512,Primary Care,Free,32960
"Henry J. Austin Health Center at Catholic Charities, Diocese of Trenton",10 Southard St,Trenton,NJ,609-278-5900,www.henryjaustin.org,321 N Warren St,Primary Care,Free,08609
TruHealth Family Care,"2630 E Citizens Dr, #3",Fayetteville,AR,479-751-7417,,614 E Emma Ave,Primary Care,Free,72703
Snow Elementary School SBHC,299 Wadsworth St,Middletown,CT,860-347-2579,,635 Main St,Primary Care,Free,06457
Kintegra at Chavis Middle,103 South Chavis Drive,Cherryville,NC,704-836-9606,www.kintegra.org,200 East Second Avenue,Primary Care,Free,28021
Full Circle Health - Meridian,2275 S Eagle Rd STE 120,Meridian,ID,208-514-2520,www.fullcircleidaho.org,777 N Raymond St,Primary Care,Free,83642
HCC Network - Carrollton,718 Harvest Hills Dr,Carrollton,MO,660-322-7272,www.hccnetwork.org,819 S Business Highway 13,Primary Care,Free,64633
Empower U Community Health Center Mobile Unit,7900 NW 27th Ave,Miami,FL,786-318-2337,,7900 NW 27th Ave STE E12,Primary Care,Free,33147
Richford Health Center,44 Main St,Richford,VT,802-255-5500,www.notchvt.org,44 Main St,Primary Care,Free,05476
"Premier Community HealthCare Group, Inc.",14141 5th St,Dade City,FL,352-518-2000,www.premierhc.org,37912 Church Ave,Primary Care,Free,33525
MedLink Habersham,396 Historic US-441,Demorest,GA,706-754-4348,,11 Charlie Morris Rd,Primary Care,Free,30535
Haywood Health Center,490 Hospital Dr,Clyde,NC,828-246-6372,,2579 Chimney Rock Road,Primary Care,Free,28721
THE HADLEY MEDICAL CENTER,572 Stanton Rd,Mobile,AL,251-444-1000,www.franklinprimary.org,1303 Dr Martin L King Jr Ave,Primary Care,Free,36617
VALLEY HEALTH - ENT,3 Stonecrest Dr,Huntington,WV,304-522-6388,www.valleyhealth.org,3377 US Route 60,Primary Care,Free,25701
Institute for Family Health at Westchester Square,1420 Ferris Pl,Bronx,NY,718-730-1004,https://www.institute.org/,2006 Madison Ave,Primary Care,Free,10461
"Upstate Family Health Center, Inc.",1001 Noyes St,Utica,NY,315-624-9470,www.upstatefamilyhealthcenter.org/,1001 Noyes St,Primary Care,Free,13502
NEW Health Conference Center,122 Quartzite Loop,Chewelah,WA,509-935-6004,www.newhealth.org,509 E Main Ave,Primary Care,Free,99109
"Community Medical Centers, Mobile Unit 103",7912 West Ln STE 221,Stockton,CA,209-940-5600,,7210 Murray Dr,Primary Care,Free,95210
O'Connor Medical Clinic Hospital Campus,2101 Forest Ave,San Jose,CA,408-373-7354,,70 W Hedding St,Primary Care,Free,95128
CareConnect Family Practice and Pediatrics,510 Alston St STE A,Richland,GA,229-887-3324,https://www.ccthealth.org,510 Alston St,Primary Care,Free,31825
SIHF Healthcare  -  Effingham,900 W Temple Ave STE 208,Effingham,IL,217-342-0211,N/A,2041 Goose Lake Rd,Primary Care,Free,62401
Family Medical Center - Eyler Elementary,1335 Carleton Rockwood Rd RM D,Carleton,MI,734-654-2169,,8765 Lewis Ave,Primary Care,Free,48117
North Olympic Healthcare Network First Street,933 E 1st St,Port Angeles,WA,360-452-7891,,240 W Front St,Primary Care,Free,98362
Evara Gold - Suncoast,5523 Roosevelt Blvd,Clearwater,FL,727-824-8181,www.evarahealth.org,14100 58th St N,Primary Care,Free,33760
Wallace Mobile Van,18633 SE Stark St,Portland,OR,503-489-1760,www.mywallace.org,18633 SE Stark St,Primary Care,Free,97233
BVCHC Mobile #1,1000 Broad St,Central Falls,RI,401-722-0081,,39 East Ave,Primary Care,Free,02863
Family HealthCare Network - Goshen Health Center,31180 Road 72,Visalia,CA,877-960-3426,www.fhcn.org,305 E Center Ave,Primary Care,Free,93291
Sterling Health Care - Stanton,68 E Elkins St,Stanton,KY,606-663-2511,,236 W Main St,Primary Care,Free,40380
Missouri Highlands Health Care - Viburnum,18 Viburnum Center Rd,Viburnum,MO,573-244-5406,www.mohigh.org,110 S 2nd St,Primary Care,Free,65566
Family Health Center Administrative Office,702 Old Wheatland Rd,Vincennes,IN,812-494-7500,,1027 WASHINGTON AVE STE B,Primary Care,Free,47591
MOUNTAIN VIEW WELLNESS CENTER,620 SCHOOL STREET,Union,WV,304-772-3064,www.monroehealthcenter.com,200 Health Center Dr,Primary Care,Free,24983
Heading Home,555 South Union Street,Lawrence,MA,978-725-7400,,1 Griffin Brook Drive,Primary Care,Free,01843
Southeast Community Health Systems - Mobile  Clinic,336 E Railroad Ave,Independence,LA,985-517-8443,,6351 Main St,Primary Care,Free,70443
Brien McMahon High School SBHC,300 Highland Ave,Norwalk,CT,203-851-1010,www.norwalkchc.org,120 Connecticut Ave,Primary Care,Free,06854
Newark Community Health Centers - Mobile Unit,741 Broadway,Newark,NJ,973-483-1300,www.nchcfqhc.org,741 Broadway,Primary Care,Free,07104
Metro Community Health Centers - Bronx,979 Cross Bronx Expy,Bronx,NY,718-665-7565,,150 55th St,Primary Care,Free,10460
Jackson-Hinds Comprehensive Health Center Woodrow Wilson Clinic,514 E Woodrow Wilson Ave,Jackson,MS,601-321-2234,www.jackson-hinds.com,3502 W Northside Dr,Primary Care,Free,39216
MississippiCare - 113,353 Highway 15 N,Pontotoc,MS,870-347-2534,www.arcare.net,117 S 2nd St,Primary Care,Free,38863
Sandy Lake Community Health Center,3205 S Main St,Sandy Lake,PA,724-376-7111,http://www.primary-health.net,63 Pitt St,Primary Care,Free,16145
Mountlake Terrace High School,21801 44th Ave W,Mountlake Terrace,WA,425-835-5227,,8609 Evergreen Way,Primary Care,Free,98043
"Benevolence Industries, Inc. - Anaheim",303 N East St,Anaheim,CA,714-491-1771,www.bhchealth.org,3533 W Pico Blvd,Primary Care,Free,92805
Mountain Valley Health Center,38 Vt Route 11,Londonderry,VT,802-824-6901,,100 River St,Primary Care,Free,05148
Neosho Dental Clinic,2209 Oak Ridge Dr,Neosho,MO,417-451-0977,www.accessfamilycare.org,475 Nelson Ave,Primary Care,Free,64850
Bridge Community Health Clinic - Athens MS HS,601 W Limit Rd,Athens,WI,715-848-4884,,1810 N 2nd St,Primary Care,Free,54411
Nestor Community Heath Center,1016 Outer Rd,San Diego,CA,619-429-3733,ww.ibclinic.org,2232 Verus St STE I,Primary Care,Free,92154
Mobile Medical & Dental Van,1009 Main St,Mendota,IL,815-539-6124,,"205 W Randolph St, Ste 1340",Primary Care,Free,61342
LEWISTON ELEMENTARY SCHOOL,4580 Montmorency St,Lewiston,MI,989-786-2253,,15774 State St,Primary Care,Free,49756
AACI Jackson Health Center,"266 N Jackson Ave, Ste 4",San Jose,CA,408-975-2763,,"2400 Moorpark Ave, Ste 300",Primary Care,Free,95116
North Country HealthCare Mobile Unit,"1501 South Yale Street, #252",Flagstaff,AZ,928-699-2515,,2920 North Fourth Street,Primary Care,Free,86001
GREEN RIVER MEDICAL CENTER,585 W Main St,Green River,UT,435-564-3434,grmc.biz,585 W Main St,Primary Care,Free,84525
Family Medical Center,412 SW Highway 351,Cross City,FL,352-498-3349,http://www.nfmc.org,2804 Remington Green Cir,Primary Care,Free,32628
Admin 301,"2975 Haleko Rd, Ste 301",Lihue,HI,808-240-0100,,"4491 Rice St, Ste 106",Primary Care,Free,96766
Desert Mission Health Center,9015 N 3rd St,Phoenix,AZ,602-882-4545,,7500 North Dreamy Draw Drive,Primary Care,Free,85020
Turner Elementary School-Based Health Center,2001 Leonard Ave,Albany,GA,229-435-9934,www.aaphc.org,204 N Westover Blvd,Primary Care,Free,31705
Compassion Health Toledo - Broadway,1638 Broadway St,Toledo,OH,567-661-0565,www.compassionhealthtoledo.org,3828 BROOKSIDE RD,Primary Care,Free,43609
Newaygo Middle School Behavioral Health Services Family Health Care,850 76th St RM 101G,Newaygo,MI,231-652-1285,,1615 Michigan Ave,Primary Care,Free,49337
MONFORT FAMILY CLINIC,2930 11th Ave,Evans,CO,970-353-9403,sunrisecommunityhealth.org,2930 11th Ave,Primary Care,Free,80620
HLH Administration,2975 Haleko Rd STE 305A,Lihue,HI,808-240-0113,,"4491 Rice St, Ste 106",Primary Care,Free,96766
Harrison Hotel - Supportive Housing Program,1415 Harrison St,Oakland,CA,510-834-8508,,2344 6th St,Primary Care,Free,94612
Health and Wellness Southwest,5955 Ridge Rd,Parma,OH,440-888-0300,,12201 Euclid Ave,Primary Care,Free,44129
Sun River Health Dental Van - NYC,1037 Main St,Peekskill,NY,914-734-8600,www.sunriver.org,1037 Main St,Primary Care,Free,10566
"Circle the City Family Health Center, Downtown Campus",220 S 12th Ave,Phoenix,AZ,602-776-9000,www.circlethecity.org,300 West Clarendon Avenue,Primary Care,Free,85007
Centerstone Health Services - Connersville,390 Erie Ave,Connersville,IN,765-377-1205,www.centerstonehealthservices.org,645 S ROGERS ST,Primary Care,Free,47331
OneWorld Livestock Campus South Building,4930 S 30th St,Omaha,NE,402-734-4110,www.oneworldomaha.org,"4920 S 30th St, Ste 103",Primary Care,Free,68107
Nevada Children's Health Project,1799 Mount Mariah Dr,Las Vegas,NV,775-888-6614 x1114,,3325 Research Way,Primary Care,Free,89106
"FAMILY HEALTH SERVICES - JEROME NEZ PERCE MEDICAL, DENTAL & BEHAVIORAL HEALTH CLINIC",218 W Nez Perce,Jerome,ID,208-324-3471,www.fhsid.org,794 Eastland Dr,Primary Care,Free,83338
WESTWOOD FAMILY PRACTICE,209 Birch St,Westwood,CA,530-252-1212,www.northeasternhealth.org,1850 Spring Ridge Dr,Primary Care,Free,96137
Seaport,505 Congress St,Boston,MA,617-464-7620,,409 West Broadway,Primary Care,Free,02210
Goodwin Community Health Mobile Van 1,575 Portsmouth Ave,Greenland,NH,603-766-9220,getcommunityhealth.org,311 Route 108,Primary Care,Free,03840
HICHC Mobile Health,15-2866 Pahoa Village Rd,Pahoa,HI,808-333-3600,,75-5751 Kuakini Hwy,Primary Care,Free,96778
JTCHS - Jefferson Reaves House Women's Residential SA Treatment Center (24 Hour),2985 NW 54th St,Miami,FL,305-637-6400,www.jtchs.org,5607 NW 27th Ave,Primary Care,Free,33142
Konawaena High School,81-1043 Konawaena School Rd,Kealakekua,HI,808-326-5629,www.hicommunityhealthcenter.org,75-5751 Kuakini Hwy,Primary Care,Free,96750
KIPP West - Unity,8500 Highway 6 S,Houston,TX,832-548-5000,www.legacycommunityhealth.org,1415 California St,Primary Care,Free,77083
CHC/SEK/Pittsburg High School,1978 E 4th St,Pittsburg,KS,620-235-3200,,3011 N Michigan St,Primary Care,Free,66762
Regional Health Clinic,559 State St,Hammond,IN,219-937-3300,www.regionalmentalhealth.org,8555 Taft St,Primary Care,Free,46320
Hillcrest Family Health Center,4094 4th Ave,San Diego,CA,619-515-2545,,823 Gateway Center Way,Primary Care,Free,92103
Community Health Center of Southeast Kansas/Baxter Springs,2990 Military Ave,Baxter Springs,KS,620-231-9873,www.chcsek.org,3011 N Michigan St,Primary Care,Free,66713
Bowen Center- Goshen Road,2100 Goshen Rd,Fort Wayne,IN,800-342-5653,,2621 E Jefferson St,Primary Care,Free,46808
Pine Knot Primary Healthy Kids Clinic,119 E Highway 2792,Pine Knot,KY,606-354-2511,,"360 Keen St, Ste 500",Primary Care,Free,42635
Spring Valley Family Counseling Center,3845 Spring Dr,Spring Valley,CA,619-515-2385,www.fhcsd.org,823 Gateway Center Way,Primary Care,Free,91977
DOZIER FAMILY HEALTH CENTER,18131 Dozier Hwy,Dozier,AL,334-496-3521,n/a,1414 Elba Hwy,Primary Care,Free,36028
Legacy Central Beaumont,450 N 11th St,Beaumont,TX,409-242-2577,www.legacycommunityhealth.org,1415 California St,Primary Care,Free,77702
Holy Family Medical,144 S Hillside St,Wichita,KS,316-682-9900,www.holyfamilymedical.com,144 S HILLSIDE ST STE A,Primary Care,Free,67211
One Health - HOPE Center,809 N Custer Ave,Hardin,MT,406-209-0109,,10 4th St W STE B,Primary Care,Free,59034
Huntsville Family Health Center,751 Pleasant Row NW,Huntsville,AL,256-533-6311,www.cnahsi.com,110 Walker Ave NE,Primary Care,Free,35816
Hamilton Elementary School Based Heath Center,7650 NW Harley Rd,Hamilton,MO,816-583-4811,,2303 Village Dr,Primary Care,Free,64644
Lancaster Reynolds Middle School,605 W Walnut St,Lancaster,PA,717-945-1551,,584 Springville Rd,Primary Care,Free,17603
"Chase Brexton Health Services, Inc. - Glen Burnie Center",200 Hospital Dr,Glen Burnie,MD,410-752-0954,,1111 N Charles St,Primary Care,Free,21061
FFHC-Western,5843 S Western Ave,Chicago,IL,773-434-8600,friendfhc.org,800 E 55th St,Primary Care,Free,60636
P.S 939/M.S. 936,270 59th St,Brooklyn,NY,347-464-5160,,150 55th St,Primary Care,Free,11220
CHC - Berlin 9958,9958 Main St,Berlin,MD,410-973-2820,chesapeakehc.org,32033 Beaver Run Dr,Primary Care,Free,21811
Logan County Community Health Center,1497 Nashville Rd,Russellville,KY,999-999-9999,none at this time,"480 Hopkinsville St, #2",Primary Care,Free,42276
Wa'ab Community Health Center,"Keng St, Weloy",Colonia,FM,691-350-2115,,148 KENG ST,Primary Care,Free,
ADULT MEDICINE CLINICS,995 Potrero Ave FL 6,San Francisco,CA,415-206-8494,www.sfdph.org,170C Capp St,Primary Care,Free,94110
"LINCOLN COUNTY PRIMARY CARE CENTER, INC.",7400 Lynn Ave,Hamlin,WV,304-824-5806 x1236,swvhs.org,7400 Lynn Ave,Primary Care,Free,25523
Beaver Falls Health Center Primary Care,1302 7th Ave,Beaver Falls,PA,724-843-4400,www.primary-health.net,63 Pitt St,Primary Care,Free,15010
Mission City Community Network-Orange Grove,1818 N Orange Grove Ave STE 205,Pomona,CA,909-624-6100,www.mccn.org,8527 Sepulveda Blvd,Primary Care,Free,91767
Caruthersville Medical and Dental Center,109 E 5th St,Caruthersville,MO,573-922-6097,,6738 State Highway 77,Primary Care,Free,63830
BTAMC Belleville Wellness Center,375 S Kishacoquillas St,Belleville,PA,717-935-2065,,4133 Medical Center Dr,Primary Care,Free,17004
Open Door Health Services Behavioral Health,1804 W Royale Dr,Muncie,IN,765-286-6000,,333 S Madison St,Primary Care,Free,47304
Cincinnati Mobile Dental Care,40 E McMicken Ave,Cincinnati,OH,513-961-0600,www.cincinnatihealthnetwork.org,40 E McMicken Ave,Primary Care,Free,45202
Jackson Square,125 Amory Street,Roxbury,MA,617-287-8000,,500 Columbia Rd,Primary Care,Free,02119
Mobile Health Van #4,1 Spartan Way,Lima,OH,419-221-3072,www.hpwohio.org,329 N West St,Primary Care,Free,45801
HomePlace Clinic - Dorton,29 Cabin Frk,Jenkins,KY,606-886-8572,,104 S Front Ave,Primary Care,Free,41537
EVERGREEN ELEMENTARY SCHOOL BASED HEALTH CENTER,520 W River St,Cave Junction,OR,541-592-6491,www.siskiyouhealthcenter.com,"1701 NW Hawthorne Ave, Ste 201",Primary Care,Free,97523
Mobile Van #1,9850C Emmett F Lowry Expy STE C103,Texas City,TX,409-949-3406,,9850 Emmett F Lowry Expy STE C,Primary Care,Free,77591
"WINTON HILLS MEDICAL AND HEALTH CENTER, INC.",5275 Winneste Ave,Cincinnati,OH,513-242-1033,www.winmedinc.org,5275 Winneste Ave,Primary Care,Free,45232
Peach Tree  -  Chico Vision Center,114 Mission Ranch Blvd STE 50,Chico,CA,530-749-3242,,"5730 Packard Ave, Ste 500",Primary Care,Free,95926
Chicago Family Health Center- Chicago Lawn,3223 W 63rd St,Chicago,IL,773-768-5000,www.chicagofamilyhealth.org,9119 S Exchange Ave,Primary Care,Free,60629
"Central City Community Health Center, Inc.- Stanton",12116 Beach Blvd,Stanton,CA,714-898-2222,www.centralcityhealth.org,2019 Saturn St,Primary Care,Free,90680
HealthSource Wilmington,140 W Main St,Wilmington,OH,937-481-2930,www.healthsourceofohio.com,424 Wards Corner Rd STE 200,Primary Care,Free,45177
Salud Trinidad,911 Robinson Ave,Trinidad,CO,719-422-8800,,203 S Rollie Ave,Primary Care,Free,81082
Blue Ridge Health - Asheville Middle School,211 South French Broad Avenue,Asheville,NC,828-350-6200,www.brchs.com,2579 Chimney Rock Road,Primary Care,Free,28801
Maynard Wilson Elementary School,13180 US Route 11,Adams Center,NY,315-583-5200,www.NoCoFamilyHealth.org,238 Arsenal St,Primary Care,Free,13606
VCC: Community Health Mobile Unit2,465 La Tortuga Dr,Vista,CA,760-631-5000,,1000 Vale Terrace Dr,Primary Care,Free,92081
Franklin Middle School,1501 Aldrich Ave N,Minneapolis,MN,612-668-2600,,2220 Plymouth Ave N,Primary Care,Free,55411
HWC Adventure Head Start - Sallisaw EHS,305 S Walnut St,Sallisaw,OK,918-967-0748,,1505 E Main St,Primary Care,Free,74955
St. Barnabas Episcopal Church,91 Main Street,Falmouth,MA,508-548-3863,https://www.stbfalmouth.org/,94 Main St,Primary Care,Free,02540
CITY RESCUE MISSION,800 W California Ave,Oklahoma City,OK,405-769-3301,,12716 NE 36th St,Primary Care,Free,73106
Morton East Health Center,11511 E 21st St,Tulsa,OK,918-439-4422,www.mortonhealth.org,1334 N Lansing Ave,Primary Care,Free,74129
GraceMed Oaklawn Family Clinic,5000 S Clifton Ave STE 200,Wichita,KS,316-866-2000,www.gracemed.org,1150 N Broadway Ave,Primary Care,Free,67216
Wellness Pointe - PTISD PACE,1701 Pine Tree Rd,Longview,TX,903-758-2610,www.wellnesspointe.org,1107 E Marshall Av,Primary Care,Free,75604
La Clinica Billing Department,3136 International Blvd,Oakland,CA,510-535-4000,,1515 Fruitvale Ave,Primary Care,Free,94601
Start Community Health Center - Thibodaux,312 E Bayou Rd,Thibodaux,LA,985-446-5244,,420 Magnolia St,Primary Care,Free,70301
CommWell Health of McGee's Crossroads,70 Crape Myrtle Dr STE 104,Benson,NC,877-935-5255,www.commwellhealth.org,6114 US Highway 301 S,Primary Care,Free,27504
Missouri Highlands Health Care - Piedmont,1 Hals Plz,Piedmont,MO,573-223-4800,www.mohigh.org,110 S 2nd St,Primary Care,Free,63957
Meadowview Community Health Center,13168 Meadowview Sq,Meadowview,VA,276-944-3999,,319 5th Ave,Primary Care,Free,24361
UCFS Health Center Griswold,226 E Main St,Griswold,CT,860-376-7040,,34 E Town St,Primary Care,Free,06351
Broad Brook Elementary SBHC,14 Rye St,Broad Brook,CT,860-623-2433,,635 Main St,Primary Care,Free,06016
Alcona Health Center Pellston Services,421 S Stimpson St,Pellston,MI,231-844-3051,www.alconahealthcenters.org,1035 W Washington Ave,Primary Care,Free,49769
Greater Baden Medical Services at Oxon Hill WIC program,6196 Oxon Hill Rd,Oxon Hill,MD,301-888-2233,,7450 Albert Rd,Primary Care,Free,20745
Heartland Community Health Clinic DBA: Heartland Health Services - Jefferson,228 NE Jefferson Ave,Peoria,IL,309-671-8000,www.heartlandchc.org,2214 N University St,Primary Care,Free,61603
Aria Community Health Center - Mobile 1,555 E St,Lemoore,CA,559-386-4500,,555 E St,Primary Care,Free,93245
SMA Stadium,420 Stadium Rd,Daytona Beach,FL,800-539-4228,www.smahealthcare.org,150 MAGNOLIA AVE,Primary Care,Free,32114
Occupational Health Services,5800 3rd Ave,Brooklyn,NY,718-630-7195,www.lmcmc.com,150 55th St,Primary Care,Free,11220
San Ysidro Health Dagget,8080 Dagget St,San Diego,CA,619-662-4100,,1601 Precision Park Ln,Primary Care,Free,92111
HealthproMed Caparra Terrace,1400 Calle Dover,San Juan,PR,787-705-6771,healthpromed.org,2020 Ave Borinquen,Primary Care,Free,00920
PS 57/James Weldon Johnson School-Based Health Center,176 E 115th St,New York,NY,212-560-5812,,2006 Madison Ave,Primary Care,Free,10029
Sixteenth Street Community Health Centers-St Anthony School-Elementary-2,1669 S 5th St,Milwaukee,WI,414-384-1729,,1032 S Cesar E Chavez Dr,Primary Care,Free,53204
Kihei Elementary School,250 E Lipoa St # D102,Kihei,HI,808-875-6818,,1881 Nani St,Primary Care,Free,96753
McCreary County Middle Healthy Kids Clinic,180 Raider Way,Stearns,KY,606-376-5081,,"360 Keen St, Ste 500",Primary Care,Free,42647
All for Health - Alameda Blvd,"2031 W Alameda Ave, Ste 330",Burbank,CA,818-409-3020,,519 E Broadway,Primary Care,Free,91506
Mercer County Intermediate Healthy Kids Clinic,1101 Moberly Rd,Harrodsburg,KY,859-733-7080,,"360 Keen St, Ste 500",Primary Care,Free,40330
Project Hospitality Health Center,150 Richmond Ter,Staten Island,NY,212-366-4459,,30 E 33rd St,Primary Care,Free,10301
Academy of World Languages,2030 Fairfax Ave,Cincinnati,OH,513-363-7821,NA,3101 Burnet Ave,Primary Care,Free,45207
LACHC 9th Street Admin Office,315 W 9th St STE 950,Los Angeles,CA,213-893-1960,,315 W 9th St STE 950,Primary Care,Free,90015
Pheasant Ridge Community Health Center of Southeast Kansas,312 S Maple St,Garnett,KS,785-448-6988,,3011 N Michigan St,Primary Care,Free,66032
"Community Medical Centers, Mobile Unit 105",2650 Wigwam Dr,Stockton,CA,209-940-5600,,7210 Murray Dr,Primary Care,Free,95205
Fort Frye Middle School Behavioral Health Clinic,420 5th St,Beverly,OH,740-656-1093,,1049 Western Ave,Primary Care,Free,45715
Solano Elementary School,1526 W Missouri Ave,Phoenix,AZ,602-707-2000,,3877 North 7th Street,Primary Care,Free,85015
Neighborhood Health Services - Terrace Heights,2501 Business Ln,Yakima,WA,509-853-2385,https://www.ynhs.org,12 S 8th St,Primary Care,Free,98901
Star Community Health OB/GYN & KidsCare - Easton,220 Ferry St,Easton,PA,484-503-8175,starcommunityhealth.org,388 Memorial Pkwy Ste B,Primary Care,Free,18042
"AltaMed Medical Group: Orange, Chapman",4010 E Chapman Ave STE C,Orange,CA,888-499-9303,www.altamed.org,2040 Camfield Ave,Primary Care,Free,92869
OPSAM HEALTH: 2743 Highland,2743 Highland Ave,National City,CA,844-200-2426,www.opsam.org,"637 3rd Ave, Ste E1",Primary Care,Free,91950
UCFS Eldercare Health Center,165 Mckinley Ave,Norwich,CT,860-887-5005,,34 E Town St,Primary Care,Free,06360
Parson Hills Elementary School Based Health Center,2328 Cardinal Dr,Springdale,AR,479-751-7417,,614 E Emma Ave,Primary Care,Free,72764
ABBEVILLE COMMUNITY HEALTH CENTER,800 Charity St,Abbeville,LA,337-893-3443,www.icchc.org,806 Jefferson Ter,Primary Care,Free,70510
YNHS Chuck Austin Place,1630 S 16th Ave STE 10,Yakima,WA,509-453-3106,https://www.ynhs.org/,12 S 8th St,Primary Care,Free,98902
Mercy office at FSSD Johnson Elementary School,815 Glass Ln,Franklin,TN,615-794-4837,,143 SE Parkway Ct,Primary Care,Free,37064
Franklin Street Community Health Center,141 Franklin St,Stamford,CT,203-969-0802,www.chc1.com,635 Main St,Primary Care,Free,06901
"Family Health Care Clinic, Bogue Chitto--Head Start",2506 Highway 51 SE,Bogue Chitto,MS,800-508-7481,www.familyhealthcareclinic.com,4635 Highway 80 E,Primary Care,Free,39629
Lawrence Elementary School SBHC,1 Kaplan Dr,Middletown,CT,860-632-2158,,635 Main St,Primary Care,Free,06457
Snyder Avenue Dental Center,640 Snyder Ave,Philadelphia,PA,215-334-4900,WWW.GPHAINC.ORG,1401 S 31st St,Primary Care,Free,19148
"Comprehensive Community Health Centers, Inc. Mobile Van1",5951 Firestone Blvd,South Gate,CA,818-265-2257,www.cchccenters.org,801 S Chevy Chase Dr STE 250,Primary Care,Free,90280
Cornerstone Family Healthcare: Lipman Family Dental Center,100 Broadway,Newburgh,NY,845-569-8412,www.ghvfhc.org,2570 United States Route 9W,Primary Care,Free,12550
Aurelia Jones-Taylor Administrative Complex,600 Ohio Ave,Clarksdale,MS,662-624-4292,http://www.aehchc.org,510 Highway 322,Primary Care,Free,38614
The Charles White Family Health Center,990 Cody Rd N,Mobile,AL,251-434-8177,www.franklinprimary.org,1303 Dr Martin L King Jr Ave,Primary Care,Free,36608
Tarzana Treatment Centers - Atlantic Ave,5190 Atlantic Ave,Long Beach,CA,818-654-3887,,18646 OXNARD ST,Primary Care,Free,90805
219 Health Network,3145 45th Ave,Highland,IN,219-440-5353,,100 W CHICAGO AVE STE F,Primary Care,Free,46322
STEWART COUNTY COMMUNITY HEALTH,1021 Spring St,Dover,TN,931-232-5329 x111,http://health.state.tn.us/,710 James Robertson Pkwy,Primary Care,Free,37058
12th Street Urgent Care,945 N 12th St,Milwaukee,WI,414-935-8000,www.progressivechc.org,3522 W Lisbon Ave,Primary Care,Free,53233
Pound Medical Clinic,11313 Highland Ave,Pound,VA,276-796-8100,www.mchcky.com,10 E Main St,Primary Care,Free,24279
